year,countriesAndTerritories,continentExp,cases,deaths,popData2019
2020,New_Zealand,Oceania,1740,25,4783062
2020,Greenland,America,19,0,56660
2020,Vanuatu,Oceania,1,0,299882
2020,Canada,America,460743,13431,37411038
2020,Dominica,America,87,0,71808
2020,Venezuela,America,107177,949,28515829
2020,Bhutan,Asia,438,0,763094
2020,Greece,Europe,124534,3625,10724599
2020,India,Asia,9884100,143355,1366417756
2020,Denmark,Europe,109758,941,5806081
2020,Indonesia,Asia,617820,18819,270625567
2020,Kuwait,Asia,146218,911,4207077
2020,United_States_of_America,America,16256754,299177,329064917
2020,Uruguay,America,9708,92,3461731
2020,Portugal,Europe,348744,5559,10276617
2020,Sri_Lanka,Asia,32790,152,21323734
2020,Latvia,Europe,25675,349,1919968
2020,Gibraltar,Europe,1075,5,33706
2020,Morocco,Africa,399609,6624,36471766
2020,Aruba,America,5049,46,106310
2020,Belgium,Europe,608001,17951,11455519
2020,Bosnia_and_Herzegovina,Europe,101117,3336,3300998
2020,Laos,Asia,41,0,7169456
2020,Montenegro,Europe,41426,582,622182
2020,Kazakhstan,Asia,186277,2552,18551428
2020,Sint_Maarten,America,1232,26,42389
2020,Poland,Europe,1135676,22864,37972812
2020,Zambia,Africa,18274,367,17861034
2020,Nepal,Asia,248423,1698,28608715
2020,Malta,Europe,11101,166,493559
2020,Iceland,Europe,5557,28,356991
2020,Norway,Europe,40022,387,5328212
2020,Guam,Oceania,7106,118,167295
2020,Bahamas,America,7674,163,389486
2020,Benin,Africa,3090,44,11801151
2020,South_Africa,Africa,860964,23276,58558267
2020,Panama,America,193007,3356,4246440
2020,Ecuador,America,202110,13875,17373657
2020,Ireland,Europe,76185,2124,4904240
2020,United_Arab_Emirates,Asia,184949,617,9770526
2020,Botswana,Africa,12501,37,2303703
2020,Croatia,Europe,175886,2640,4076246
2020,Guernsey,Europe,289,13,64468
2020,Philippines,Asia,449400,8733,108116622
2020,Zimbabwe,Africa,11246,307,14645473
2020,Slovenia,Europe,96314,1459,2080908
2020,Pakistan,Asia,440787,8832,216565317
2020,Timor_Leste,Asia,31,0,1293120
2020,Bolivia,America,147150,9018,11513102
2020,Egypt,Africa,121575,6920,100388076
2020,Bermuda,America,431,9,62508
2020,Somalia,Africa,4579,121,15442906
2020,Albania,Europe,48530,1003,2862427
2020,Taiwan,Asia,740,7,23773881
2020,Czechia,Europe,581079,9609,10649800
2020,Cyprus,Europe,15101,78,875899
2020,United_Republic_of_Tanzania,Africa,509,21,58005461
2020,Paraguay,America,93582,1953,7044639
2020,Nicaragua,America,5887,162,6545503
2020,Mozambique,Africa,16954,142,30366043
2020,Armenia,Europe,148682,2503,2957728
2020,Congo,Africa,6049,99,5380504
2020,Northern_Mariana_Islands,Oceania,113,2,57213
2020,Mali,Africa,5814,194,19658023
2020,Guinea,Africa,13420,79,12771246
2020,Peru,America,984973,36677,32510462
2020,Brazil,America,6901952,181402,211049519
2020,Jamaica,America,11710,273,2948277
2020,Serbia,Europe,266432,2331,6963764
2020,"Bonaire, Saint Eustatius and Saba",America,173,3,25983
2020,Liberia,Africa,1676,83,4937374
2020,Germany,Europe,1337078,21975,83019213
2020,Lesotho,Africa,2250,44,2125267
2020,South_Korea,Asia,43484,587,51225321
2020,Afghanistan,Asia,49273,1971,38041757
2020,Georgia,Europe,191063,1839,3996762
2020,Puerto_Rico,America,107158,1272,2933404
2020,Algeria,Africa,92102,2596,43053054
2020,Netherlands,Europe,612746,10034,17282163
2020,Finland,Europe,30810,453,5517919
2020,Suriname,America,5353,117,581363
2020,Burundi,Africa,729,1,11530577
2020,Holy_See,Europe,26,0,815
2020,Curaçao,America,3624,11,163423
2020,Iran,Asia,1108269,52196,82913893
2020,Papua_New_Guinea,Oceania,725,8,8776119
2020,Saint_Kitts_and_Nevis,America,27,0,52834
2020,Luxembourg,Europe,41272,396,613894
2020,Belize,America,9295,195,390351
2020,Senegal,Africa,17075,349,16296362
2020,Cayman_Islands,America,298,2,64948
2020,Fiji,Oceania,46,2,889955
2020,Belarus,Europe,160295,1263,9452409
2020,Turks_and_Caicos_islands,America,769,6,38194
2020,Grenada,America,69,0,112002
2020,Bangladesh,Asia,490533,7052,163046173
2020,Barbados,America,292,7,287021
2020,Saudi_Arabia,Asia,359888,6048,34268529
2020,Qatar,Asia,140961,240,2832071
2020,Azerbaijan,Europe,175874,1922,10047719
2020,Falkland_Islands_(Malvinas),America,19,0,3372
2020,Sao_Tome_and_Principe,Africa,1009,17,215048
2020,New_Caledonia,Oceania,36,0,282757
2020,Costa_Rica,America,150947,1895,5047561
2020,Marshall_Islands,Oceania,4,0,58791
2020,Ukraine,Europe,900666,15247,43993643
2020,North_Macedonia,Europe,73638,2121,2077132
2020,Ghana,Africa,53014,327,30417858
2020,Andorra,Europe,7338,79,76177
2020,Guyana,America,5920,155,782775
2020,Argentina,America,1498160,40766,44780675
2020,Estonia,Europe,18055,149,1324820
2020,United_States_Virgin_Islands,America,1807,23,104579
2020,Bulgaria,Europe,179449,5688,7000039
2020,Faroe_Islands,Europe,528,0,48677
2020,French_Polynesia,Oceania,15618,91,279285
2020,Singapore,Asia,58320,29,5804343
2020,Cuba,America,9423,137,11333484
2020,Equatorial_Guinea,Africa,5185,85,1355982
2020,Hungary,Europe,283870,7130,9772756
2020,Kosovo,Europe,46580,1198,1798506
2020,Solomon_Islands,Oceania,17,0,669821
2020,Isle_of_Man,Europe,370,25,84589
2020,Sudan,Africa,21386,1347,42813237
2020,South_Sudan,Africa,3206,62,11062114
2020,Mauritius,Africa,515,10,1269670
2020,Austria,Europe,320036,4400,8858775
2020,Cape_Verde,Africa,11357,110,549936
2020,Monaco,Europe,668,2,33085
2020,Brunei_Darussalam,Asia,152,3,433296
2020,Eswatini,Africa,6768,127,1148133
2020,Saint_Lucia,America,275,4,182795
2020,Wallis_and_Futuna,Oceania,3,0,
2020,Chile,America,571919,15886,18952035
2020,Djibouti,Africa,5728,61,973557
2020,Burkina_Faso,Africa,4030,71,20321383
2020,Namibia,Africa,16536,160,2494524
2020,Cameroon,Africa,25143,443,25876387
2020,Ethiopia,Africa,116769,1806,112078727
2020,Mexico,America,1250044,113953,127575529
2020,Guinea_Bissau,Africa,2444,44,1920917
2020,Liechtenstein,Europe,1514,18,38378
2020,Central_African_Republic,Africa,4936,63,4745179
2020,Lithuania,Europe,95021,825,2794184
2020,Sweden,Europe,320098,7514,10230185
2020,Tunisia,Africa,111361,3894,11694721
2020,Trinidad_and_Tobago,America,6879,122,1394969
2020,Eritrea,Africa,711,0,3497117
2020,France,Europe,2376852,57911,67012883
2020,Mongolia,Asia,912,0,3225166
2020,Kenya,Africa,91892,1587,52573967
2020,Russia,Europe,2653928,46941,145872260
2020,Thailand,Asia,4237,60,69625581
2020,Mauritania,Africa,10780,222,4525698
2020,Guatemala,America,129282,4423,17581476
2020,Moldova,Europe,126518,2572,4043258
2020,Antigua_and_Barbuda,America,148,4,97115
2020,Switzerland,Europe,372329,5378,8544527
2020,Myanmar,Asia,108342,2268,54045422
2020,Cases_on_an_international_conveyance_Japan,Other,696,7,
2020,Honduras,America,114359,2975,9746115
2020,Comoros,Africa,628,7,850891
2020,Kyrgyzstan,Asia,77674,1312,6415851
2020,Colombia,America,1425774,39053,50339443
2020,Malaysia,Asia,83475,415,31949789
2020,Saint_Vincent_and_the_Grenadines,America,98,0,110593
2020,Gambia,Africa,3782,123,2347696
2020,Slovakia,Europe,132984,1175,5450421
2020,Bahrain,Asia,89143,348,1641164
2020,Japan,Asia,179653,2585,126860299
2020,Anguilla,America,10,0,14872
2020,Turkey,Europe,995471,16199,82003882
2020,Niger,Africa,2258,80,23310719
2020,Spain,Europe,1730575,47624,46937060
2020,Nigeria,Africa,73175,1197,200963603
2020,Jordan,Asia,259614,3365,10101697
2020,Western_Sahara,Africa,766,1,582458
2020,San_Marino,Europe,1947,51,34453
2020,Syria,Asia,9166,518,17070132
2020,Haiti,America,9565,234,11263079
2020,Jersey,Europe,1779,32,107796
2020,Malawi,Africa,6066,187,18628749
2020,Palestine,Asia,124657,1079,4981422
2020,Vietnam,Asia,1397,35,96462108
2020,Angola,Africa,16188,371,31825299
2020,Dominican_Republic,America,154692,2361,10738957
2020,Seychelles,Africa,187,0,97741
2020,Rwanda,Africa,6659,56,12626938
2020,British_Virgin_Islands,America,76,1,30033
2020,Maldives,Asia,13368,48,530957
2020,El_Salvador,America,41880,1205,6453550
2020,China,Asia,91994,4739,1433783692
2020,Gabon,Africa,9330,63,2172578
2020,Oman,Asia,126240,1471,4974992
2020,Uganda,Africa,27532,221,44269587
2020,Lebanon,Asia,146520,1200,6855709
2020,United_Kingdom,Europe,1849403,64170,66647112
2020,Cambodia,Asia,359,0,16486542
2020,Iraq,Asia,574634,12579,39309789
2020,Uzbekistan,Asia,75094,612,32981715
2020,Democratic_Republic_of_the_Congo,Africa,14512,355,86790568
2020,Togo,Africa,3251,66,8082359
2020,Italy,Europe,1843712,64520,60359546
2020,Sierra_Leone,Africa,2440,75,7813207
2020,Madagascar,Africa,17638,258,26969306
2020,Yemen,Asia,2083,606,29161922
2020,Tajikistan,Asia,12704,88,9321023
2020,Israel,Asia,357859,2999,8519373
2020,Cote_dIvoire,Africa,21680,133,25716554
2020,Australia,Oceania,28031,908,25203200
2020,Libya,Africa,90779,1299,6777453
2020,Montserrat,America,13,1,4991
2020,Romania,Europe,556335,13385,19414458
2020,Chad,Africa,1770,102,15946882
